ExerciseType,Start,End,Duration,MeanSpeed,MaxSpeed,Distance,Calories
1001,1571428816212,1571429323603,507391,1.9330847,2.5,974,48
1001,1571431900316,1571432386175,485859,2.0678291,2.5,998,46
1001,1571440878097,1571441563268,685171,1.681121,2.4166667,1146,61
1001,1571662040820,1571662584185,543365,1.989683,2.3533332,1074,52
1001,1571694548929,1571695025217,476288,2.1919084,2.5,1038,48
1001,1571704653007,1571704669018,16011,1.772971,2.48,24,1
1002,1571704682875,1571704889007,206132,3.4639988,4.353333,710,49
1001,1571753904562,1571754460749,556187,1.9950476,2.5,1109,52
1001,1571758904628,1571759400871,496243,2.0434453,2.5,1007,46
1001,1571764476601,1571765060972,584371,2.1681092,2.5,1261,57
1001,1571770869026,1571771363342,494316,2.120632,2.4399998,1045,50
1001,1571834129906,1571834662161,532255,2.068651,2.5,1098,51
1001,1571867436354,1571867951693,515339,2.0270603,2.5,1043,45
1001,1571874146267,1571874620520,474253,2.0419834,2.5,965,44
1001,1571926725985,1571927265068,539083,1.9869764,2.4133332,1066,49
1001,1571932034886,1571932527635,492749,2.031418,2.5,993,46
1001,1571937394504,1571937921798,527294,2.1711812,2.5,1137,54
1001,1571942976488,1571943423722,447234,2.199002,2.5,976,44
1001,1571953018041,1571953550687,532646,1.9437762,2.43,1030,48
1001,1571957825474,1571958261790,436316,2.1276948,2.5,927,48
1001,1572007106330,1572007621611,515281,2.0069976,2.4650002,1029,47
1001,1572013680000,1572014408632,728632,1.5821979,1.6944444,1152.84,58.079998
1001,1572288259417,1572288704189,444772,2.088964,2.4966667,925,42
1001,1572299381604,1572299872983,491379,2.1222007,2.5,1035,47
1001,1572304774428,1572305179187,404759,2.0721033,2.5,837,43
1001,1572358736276,1572359261151,524875,2.0491018,2.5,1067,48
1001,1572364331432,1572364815710,484278,2.0401394,2.5,987,45
1001,1572369529979,1572370073252,543273,2.1279068,2.5,1149,51
1001,1572374920809,1572375417897,497088,2.0371647,2.5,1010,46
1001,1572386502187,1572386682314,180127,1.9754071,2.2933333,355,16
